feature_1,feature_2,class
0.026678499896045305,0.007345639820120581,0
0.03044243753288367,0.11800831761778899,0
0.003933622792078961,0.2045380832617103,0
0.03351745203613964,0.3075111691040044,0
0.024745361827384276,0.44621583563274086,0
0.03655394961583248,0.5491074014372866,1
0.020666442784059054,0.6284280922237447,1
0.024930473589564996,0.7132994542458095,1
0.03485123539589631,0.8001969684211704,1
0.014364118804235122,0.9177184251084743,1
0.14876843993396907,0.034658653998985024,0
0.12086897484956757,0.11343508726606846,0
0.11741912899651093,0.21264541415217666,0
0.13108578359227246,0.3057359117912404,0
0.11032273849329907,0.4258650908116096,0
0.12169786882841074,0.5033884526229776,1
0.11649927648856058,0.6226856324600828,1
0.13065930962480557,0.7330026042685954,1
0.13098338199799506,0.8023297494415802,1
0.11294401141765441,0.9324439364296498,1
0.24723855933388617,0.013895063407230134,0
0.228759819830437,0.11864099271599347,0
0.22123517823275932,0.2216475848859214,0
0.2033681626776884,0.3085212472241843,0
0.2393840060173605,0.4004384575554885,0
0.2431270430235743,0.5083603149055107,1
0.22538382590350178,0.639034622837048,1
0.2378237150100265,0.7433136893657409,1
0.22289355820194684,0.8012075344677779,1
0.23578221802340033,0.9131125806754574,1
0.33305025735289184,0.03890414559217498,0
0.3389307965975215,0.10357276482755255,0
0.33696230046419795,0.22926110565869642,0
0.3314102763171201,0.3336443953999665,0
0.3142390432250929,0.4497375894992708,0
0.33892089695263333,0.5220438693192555,1
0.32332556782669786,0.604497183621514,1
0.3031672174846179,0.7268638455764974,1
0.3096615840479676,0.8133209768773809,1
0.33027137138181645,0.9476895561925954,1
0.4207114147790285,0.03789819268959589,0
0.4466058042944385,0.12800772808937197,0
0.40122116164850663,0.22838994181494424,0
0.4105488400317743,0.3071099857562349,0
0.4119588450610177,0.4497205859983837,0
0.44480869600787515,0.5272598428868689,1
0.41834059987099664,0.6141840042247559,1
0.4112587126784965,0.741466274645838,1
0.4094999447405972,0.8257711213701535,1
0.44092169702393946,0.933747510882055,1
0.5391312144416437,0.013676250248697435,0
0.5274210280551127,0.14294846645309822,0
0.5456889565193906,0.21708672225887762,0
0.5375956972208114,0.3110010557380344,0
0.5093715973686946,0.4444357717863515,0
0.5364171585580517,0.5280125443238488,1
0.5494252374553459,0.6400916527039062,1
0.5167287206399158,0.7406434716390922,1
0.5074159111252063,0.804035412303165,1
0.5437952399387923,0.945370880419067,1
0.6303200122083901,0.025905276456014547,0
0.6200418633307105,0.14191796668277332,0
0.6179569185512361,0.23313268271584997,0
0.644996107740205,0.3250311771271542,0
0.6372501599553236,0.40757928841275193,0
0.619522343091706,0.506961050566806,1
0.6424020273813127,0.628485003253994,1
0.6495985861897878,0.7301593574642498,1
0.6301660770669177,0.8147816009328307,1
0.647828899758554,0.9456122640902496,1
0.7483136957944028,0.031625132402417086,0
0.71376582676461,0.13499077980351737,0
0.7240603924066152,0.23655298351747275,0
0.736517535477001,0.3247036887868365,0
0.728704424535441,0.436244832955074,0
0.7449334838026034,0.5216118232585499,0
0.7499842936830724,0.6155192560521056,1
0.7431302279739719,0.7476325766227866,1
0.7411413585219389,0.8094539562872156,1
0.7054780999966896,0.9353948575393225,1
0.805977946301471,0.04143294197851701,0
0.8124410454442534,0.11064891385651877,0
0.8458868104380084,0.22374318510922198,0
0.8361269793267471,0.3345880165401813,0
0.8204690967486726,0.44629795858900195,0
0.8046745058683087,0.5200592215471389,0
0.8074524645017498,0.633288648165633,1
0.8298739771272537,0.7366536846064815,1
0.8461111344316168,0.8345001196684114,1
0.8398241207620885,0.9435075057687891,1
0.9210607127674717,0.032685362980178184,0
0.9181319238236174,0.1129683728422961,0
0.9149765708997131,0.21774733287071266,0
0.9395050351504336,0.3147164789291763,0
0.9069526678750282,0.42654402815895903,0
0.9481260822065126,0.5130964060030052,0
0.9139489920355076,0.6158001226278483,0
0.9258725388389158,0.728690784507551,1
0.9247731535588576,0.8279241503680023,1
0.9190596152528292,0.929659411621116,1
