feature_1,feature_2,class
0.019783227639548116,0.022888523178634036,1
0.018615167049038494,0.10518164323520417,1
0.042321480275453544,0.2283936050348064,1
0.000303272701902324,0.3095550857990355,1
0.004179175921122258,0.44176903362821146,1
0.01913715883101727,0.530507610307513,1
0.022044148050523467,0.6382850839687026,1
0.01690785812864798,0.7175646514994601,1
0.03256638109399871,0.8487587238583547,1
0.03544080133744777,0.9140269663076399,1
0.11684773020805045,0.0354486966911769,1
0.11357747081142867,0.1303195900788347,1
0.11418017021183402,0.24132454186866475,1
0.13607698394874498,0.30661759629968816,1
0.12001524534540518,0.43289377996118417,1
0.10142327222673186,0.5051125255069695,1
0.12025540358613795,0.6290146192805139,1
0.13796013039358496,0.7340073862533566,1
0.13939105919195516,0.8153099223128785,1
0.1432297884337213,0.9332025249752354,1
0.223556478448421,0.03774336668338139,1
0.21124172497789043,0.1406278360925956,1
0.23632644713246415,0.233197200469022,1
0.21294383011649415,0.3144425726169905,1
0.20962381264613486,0.44919745099572184,1
0.21807115473863437,0.5187944284997518,1
0.21149858016127723,0.6283678229577655,1
0.20155703298153765,0.705671331637463,1
0.24394791337708818,0.8135460635569539,1
0.21394683321379468,0.9099787785265829,1
0.33635072596610016,0.049801057165024074,1
0.3496854745707314,0.12407154623539086,1
0.3429210939391314,0.20645393644387097,1
0.3212720429610089,0.3216700417919144,1
0.32179548478227005,0.4028377730414281,1
0.3377245178258001,0.5381757302958283,1
0.34957702375880356,0.6230607984460383,1
0.3362580542057816,0.7179153622296427,1
0.3299123216912102,0.8293457739323264,1
0.30497518670443585,0.9010517555609603,1
0.44846121989914034,0.047652787413092895,0
0.4477222595352008,0.10749273883539495,0
0.4167316372103709,0.2437335539119963,0
0.425642734183388,0.30614004755379504,0
0.40571666669951745,0.421399520300547,1
0.41861094210529337,0.5459403075821256,1
0.40626460856274305,0.642566679492504,1
0.4166727759452911,0.7447462263755633,1
0.4441516596711708,0.8274724103847592,1
0.4200463052080157,0.9152261730686954,1
0.5290615899381717,0.010887273230665823,0
0.5470250981710838,0.11933425990605996,0
0.5210740466678612,0.21348064737132488,0
0.535315999030442,0.31442511602727075,0
0.5184161374331764,0.41964494101197836,0
0.5492238192583906,0.54063574615629,1
0.5075437288594831,0.6132725316307822,1
0.5297040601300386,0.706728866849699,1
0.5418117880159371,0.8349919631800894,1
0.5470920825921796,0.9328019755573316,1
0.6137589136251429,0.01605179911514648,0
0.6175322024600369,0.10035561544484399,0
0.6222397765433134,0.2327999067374031,0
0.6418250027312642,0.3358179860759466,0
0.6260679680936782,0.4280510288364755,0
0.6449385709430517,0.5012132831757083,0
0.6139918667065113,0.6415729313811088,1
0.6351868256040815,0.7441382592839175,1
0.6266120002426188,0.8199066883770433,1
0.6064648910351277,0.9103771457894706,1
0.7433406196089279,0.046222864333093784,0
0.7114527405409332,0.14376737104792373,0
0.7315073931796545,0.23506876356684714,0
0.7004309460981385,0.32860641865764884,0
0.7444947829192256,0.44265677227461986,0
0.7060840052126447,0.5386209907515757,0
0.745319861848304,0.6445486223108525,0
0.7193207775115988,0.7479690507056844,1
0.7410693850715738,0.8017403706332948,1
0.701074358045993,0.9227782629689245,1
0.8127016562774607,0.03070012555932084,0
0.8299651753888652,0.13122049171406103,0
0.8038512476847942,0.2148050316574058,0
0.8012914946606928,0.3188704078788174,0
0.8499087822123542,0.4363066594011046,0
0.8122650986494113,0.5456194683003553,0
0.8078133639289816,0.6240291512622506,0
0.8497854799384315,0.7035686878346087,0
0.8039669463250518,0.803700943122442,1
0.8146629751453658,0.9310506479387558,1
0.913767867268361,0.049706960510315173,0
0.9314089142781747,0.110705363031605,0
0.9049748550545675,0.20229342193275368,0
0.9146301429126115,0.3364108971064746,0
0.9241943005307908,0.4184115454124988,0
0.93905313641466,0.5172709495701908,0
0.9420103926038601,0.6247611603731826,0
0.9187980117099521,0.7064236416337376,0
0.9349217555151811,0.8398216822096073,1
0.9472809556527082,0.9395832323867648,1
